Simplified	Pinyin	english
长途	chángtú	long distance
常识	chángshí	common sense; general knowledge
抄	chāo	to copy; plagiarize; search and confiscate
超级	chāojí	super; transcending; high grade
朝	cháo	to face; towards; dynasty
潮湿	cháoshī	damp; moist; humid
吵	chǎo	to quarrel; make noise
吵架	chǎo jià	to quarrel; to squabble; bicker
炒	chǎo	to stir-fry; saute
车库	chēkù	garage
车厢	chēxiāng	carriage; railroad car
彻底	chèdǐ	thorough; complete; completely
沉默	chénmò	silent; uncommunicative
趁	chèn	avail oneself of; take advantage of (an opportunity or situation)
称	chēng	weigh; to call; be called
称呼	chēnghu	to call; address as; name
称赞	chēngzàn	to praise; to acclaim
成分	chéngfèn	ingredient; composition
成果	chéngguǒ	result; achievement; gain
成就	chéngjiù	accomplishment; achievement; success
成立	chénglì	establish; to set up
成人	chéngrén	adult; to grow up; become full-grown
成熟	chéngshú	mature; ripe
成语	chéngyǔ	idiom; proverb
成长	chéngzhǎng	to mature; grow up
诚恳	chéngkěn	honest; sincere
承担	chéngdān	undertake; assume (responsibility)
承认	chéngrèn	to admit; concede; acknowledge
承受	chéngshòu	to bear; support; endure; sustain
程度	chéngdù	degree; extent; level
程序	chéngxù	procedure; sequence; program
吃亏	chīkuī	suffer losses; get the worst of
池塘	chítáng	pool; pond
迟早	chízǎo	sooner or later
持续	chíxù	continue; persist
尺子	chǐzi	ruler (measuring instrument)
翅膀	chìbǎng	wing
冲	chōng	to rush; to clash; to rinse; thoroughfare
充电器	chōngdiànqì	battery charger
充分	chōngfèn	full; abundant; ample
充满	chōngmǎn	brimming with; very full
重复	chóngfù	to repeat; to duplicate
宠物	chǒngwù	a pet
抽屉	chōuti	drawer
抽象	chōuxiàng	abstract; abstraction
丑	chǒu	ugly; disgraceful (2nd Earthly Branch)
臭	chòu	stench; stink
出版	chūbǎn	publish
出口	chūkǒu	exit; speak; export
出色	chūsè	remarkable; outstanding; excellent
出示	chūshì	to show
出席	chūxí	attend; be present; participate
初级	chūjí	junior; primary
除非	chúfēi	only if; unless
除夕	chúxī	Lunar New Year's Eve
处理	chǔlǐ	deal with; to process; sell at a discount; to treat (by a special process)
传播	chuánbō	propagate; to spread
传染	chuánrǎn	infect; be contagious
传说	chuánshuō	it is said; legend; pass on (a story)
传统	chuántǒng	tradition; traditional
窗帘	chuānglián	window curtain
闯	chuǎng	rush; break through; to temper oneself (by battling difficulties)
创造	chuàngzào	create; bring about; creativity
吹	chuī	to blow; to blast; to puff
词汇	cíhuì	vocabulary
辞职	cízhí	resign from a position
此外	cǐwài	besides; in addition; moreover
次要	cìyào	secondary; less important
刺激	cìjī	exciting; provoke; irritate
匆忙	cōngmáng	hasty; hurried
从此	cóngcǐ	from now on; since then
从而	cóng'ér	thus; thereby; as a result
从前	cóngqián	previously; formerly; in the past
从事	cóngshì	go for; engage in; deal with
粗糙	cūcāo	coarse
促进	cùjìn	promote (an idea or cause); to advance
促使	cùshǐ	to urge; impel; to cause; to push
醋	cù	vinegar
催	cuī	to press; to urge; to hurry
存在	cúnzài	to exist; to be
措施	cuòshī	measure; step (to be taken)
答应	dāying	to respond; to promise; to answer; agree
达到	dá dào	achieve; attain; to reach
打工	dǎgōng	work a part time job; (regional) do manual labor; do odd jobs
打交道	dǎ jiāodao	come into contact with; to deal with
打喷嚏	dǎpēntì	to sneeze
打听	dǎting	ask about; inquire about
大方	dàfang	generous; poise; (-fang1: expert; scholar)
大厦	dàshà	large building; edifice; mansion
大象	dàxiàng	elephant
大型	dàxíng	large-scale; wide-scale
呆	dāi	stupid; foolish; blank; dumbstruck; to stay
代表	dàibiǎo	represent; to delegate
代替	dàitì	to replace
贷款	dài kuǎn	(bank) loan; provide a loan
待遇	dàiyù	treatment; pay; wage; salary
担任	dānrèn	hold the post of; serve as
单纯	dānchún	simple; pure; merely
单调	dāndiào	monotonous; dull
单独	dāndú	alone
单位	dānwèi	unit; work unit
单元	dānyuán	unit; entrance number; staircase (for residential buildings)
耽误	dānwu	to delay; waste time
胆小鬼	dǎnxiǎoguǐ	coward
淡	dàn	diluted; weak; thin
当地	dāngdì	local
当心	dāngxīn	take care; watch out
挡	dǎng	to block; hinder; gear; equipment
导演	dǎoyǎn	to direct; director
导致	dǎozhì	lead to; bring about; to cause
岛屿	dǎoyǔ	islands
倒霉	dǎoméi	have bad luck; be out of luck
到达	dàodá	to reach; arrive
道德	dàodé	morals; morality; ethics
道理	dàolǐ	reason; sense; argument
登记	dēngjì	register (one's name); check in; enroll
等待	děngdài	to wait (for); expect
等于	děngyú	(Mathematics) equal to
滴	dī	to drip; drop; (mw for drops of liquid)
的确	díquè	really; indeed
敌人	dírén	enemy
地道	dìdao	authentic; genuine; (-dào: tunnel)
地理	dìlǐ	geography
地区	dìqū	an area; a region; a district
地毯	dìtǎn	carpet; rug
地位	dìwèi	position; status
地震	dìzhèn	earthquake
递	dì	hand over; to pass; to give
点心	diǎnxin	dim sum; light refreshments; snacks
电池	diànchí	battery
电台	diàntái	transceiver; broadcasting station
钓	diào	to fish
顶	dǐng	top; roof; carry on one's head; prop up; to butt; (mw for headwear, i.e. hats)
动画片	dònghuàpiàn	animated film
冻	dòng	to freeze
洞	dòng	cave; hole
豆腐	dòufu	tofu; bean curd
逗	dòu	to tease; amuse; to stay; to stop; funny
独立	dúlì	independent
独特	dútè	unique; distinctive
度过	dùguò	spend; to pass
断	duàn	to break; decide; absolutely (usually negative)
堆	duī	pile; heap; stack; crowd
对比	duìbǐ	compare; to contrast; comparison
对待	duìdài	to treat
对方	duìfāng	counterpart; the other party involved
对手	duìshǒu	opponent; adversary; match
对象	duìxiàng	target; object; partner; boyfriend or girlfriend
兑换	duìhuàn	to exchange; to convert (currencies)
吨	dūn	ton
蹲	dūn	to crouch; to squat
顿	dùn	pause; arrange; stamp feet; suddenly; (mw for meals)
多亏	duōkuī	thanks to; luckily
多余	duōyú	unnecessary; superfluous
朵	duǒ	(mw for flowers and clouds)
躲藏	duǒcáng	hide oneself; take cover
恶劣	èliè	vile; horrible
耳环	ěrhuán	earring
发表	fābiǎo	publish; to issue (a statement); announce
发愁	fā chóu	worry about sth.
发达	fādá	developed (country, etc.); flourishing; prosper
发抖	fādǒu	to shiver; to shudder; tremble
发挥	fāhuī	to bring (skill, talent, etc.) into play; to develop (an idea)
发明	fāmíng	invent
发票	fāpiào	receipt or bill for purchase; invoice
发言	fāyán	make a speech; statement
罚款	fákuǎn	fine; penalty (monetary)
法院	fǎyuàn	court of law
翻	fān	to turn over; capsize; translate
繁荣	fánróng	prosperous; prosperity; booming (economy)
反而	fǎn'ér	on the contrary; instead
反复	fǎnfù	repeatedly; over and over
反应	fǎnyìng	react; respond; reply
反映	fǎnyìng	reflect; reflection; report on
反正	fǎnzhèng	anyway
范围	fànwéi	scope; range; limits; extent
方	fāng	square; direction; side (Kangxi radical 70)
方案	fāng'àn	plan; program (for action, etc.); proposal
方式	fāngshì	way; style; fashion; manner
妨碍	fáng'ài	hinder; to hamper; to obstruct
仿佛	fǎngfú	to seem as though; as if
非	fēi	non-; un-; not be; wrongdoing; simply must (Kangxi radical 175)
肥皂	féizào	soap
废话	fèihuà	nonsense; rubbish
分别	fēnbié	distinguish; split up; difference; to part
分布	fēnbù	be distributed (over an area); be scattered
分配	fēnpèi	distribute; assign; allocate
分手	fēnshǒu	part company; break up
分析	fēnxī	analyze; analysis
纷纷	fēnfēn	one after another; in succession; in profusion; diverse; pell-mell
奋斗	fèndòu	strive; to struggle
风格	fēnggé	style
风景	fēngjǐng	scenery; landscape
风俗	fēngsú	social custom
风险	fēngxiǎn	risk; venture; hazard
疯狂	fēngkuáng	crazy; madness; wild; extreme popularity; insane; frenzied; unbridled
讽刺	fěngcì	satirize; ridicule; mock; irony
否定	fǒudìng	negate; negative
否认	fǒurèn	deny; declare to be untrue
扶	fú	to support with hand; to help somebody up
服装	fúzhuāng	(formal) clothing; costume; dress
幅	fú	width of cloth; size; (mw for pictures, paintings, textiles)
辅导	fǔdǎo	to coach; to tutor; give advice (in study)
妇女	fùnǚ	woman; women in general
复制	fùzhì	duplicate; reproduce
改革	gǎigé	to reform
改进	gǎijìn	improve; make better
改善	gǎishàn	improve; make better
改正	gǎizhèng	to correct; amend
盖	gài	lid; top; cover; to build
概括	gàikuò	summarize; generalize
概念	gàiniàn	concept; idea
干脆	gāncuì	straightforward; clear-cut; blunt
干燥	gānzào	to dry (of paint, cement, etc.); dry; dryness
赶紧	gǎnjǐn	at once; hurriedly; lose no time
赶快	gǎnkuài	at once; immediately
感激	gǎnjī	appreciate; feel grateful
感受	gǎnshòu	feel; experience; emotion; impression
感想	gǎnxiǎng	impressions; reflections; thoughts
干活儿	gàn huór	do manual labor; to work
钢铁	gāngtiě	steel
高档	gāodàng	top quality; first rate; high class
高级	gāojí	high-level; high-grade; advanced
搞	gǎo	do; make; be engaged in
告别	gàobié	say goodbye to; to leave; to part
格外	géwài	especially; additionally
隔壁	gébì	next door
个别	gèbié	individual; specific; isolated; very few
个人	gèrén	individual; personal; oneself
个性	gèxìng	individuality; personality
各自	gèzì	each; respective; apiece
根	gēn	root; base; (mw for long, slender objects)
根本	gēnběn	root; essence; fundamental; basic; (not) at all; simply
工厂	gōngchǎng	factory
工程师	gōngchéngshī	engineer
工具	gōngjù	tool; instrument; utensil
工人	gōngrén	worker
工业	gōngyè	industry
公布	gōngbù	make public; announce; publicize
公开	gōngkāi	public; make public
公平	gōngpíng	fair; impartial; just
公寓	gōngyù	apartment building
公元	gōngyuán	(year) AD or CE; Christian era; common era
公主	gōngzhǔ	princess
功能	gōngnéng	function; feature
恭喜	gōngxǐ	congratulate
贡献	gòngxiàn	contribute; dedicate; contribution
沟通	gōutōng	link; connect; communicate
构成	gòuchéng	to constitute; to compose
姑姑	gūgu	paternal aunt; father's sister
姑娘	gūniang	young woman; girl
古代	gǔdài	ancient times
古典	gǔdiǎn	classical
股票	gǔpiào	shares; stock (market)
骨头	gǔtou	bone; moral character
鼓舞	gǔwǔ	inspire; heartening
鼓掌	gǔ zhǎng	applaud
固定	gùdìng	fixed; regular; stable
挂号	guà hào	register; check into hospital; send by registered mail
乖	guāi	(of a child) obedient; well-behaved; clever; perverse; contrary to reason
拐弯	guǎi wān	turn a corner; make a turn
怪不得	guài bu de	no wonder; so that's why
关闭	guānbì	close; shut
观察	guānchá	observe; to watch; to survey
观点	guāndiǎn	point of view; standpoint
观念	guānniàn	notion; thought; concept
官	guān	an official; organ; governmental
管子	guǎnzi	tube; pipe; drinking straw
冠军	guànjūn	champion
光滑	guānghuá	glossy; sleek; smooth
光临	guānglín	(polite) welcome!; honor somebody with one's presence
光明	guāngmíng	bright (future); promising; illuminate
光盘	guāngpán	CD (compact disc)
广场	guǎngchǎng	public square; plaza
广大	guǎngdà	vast; extensive
广泛	guǎngfàn	extensive; wide ranging
归纳	guīnà	conclude from the facts; induce; sum up from the facts
规矩	guīju	rule; custom
规律	guīlǜ	law (e.g. of science); regular pattern; discipline
规模	guīmó	scale; scope; extent
规则	guīzé	rule; law; regulation
柜台	guìtái	counter; bar; front desk
滚	gǔn	to roll; get lost; to boil
锅	guō	pot; pan; boiler
国庆节	Guóqìng Jié	National Day
国王	guówáng	king
果然	guǒrán	really; sure enough; as expected
果实	guǒshí	fruit; gains; results
过分	guòfèn	excessive; overly
过敏	guòmǐn	be allergic; allergy
过期	guòqī	overdue; expire
哈	hā	exhale; sip; (sound of laughter)
海关	hǎiguān	customs (i.e. border inspection)
海鲜	hǎixiān	seafood
喊	hǎn	call; cry; shout
行业	hángyè	industry; business
豪华	háohuá	luxurious
好客	hàokè	hospitable; to enjoy having guests
好奇	hàoqí	curious
合法	héfǎ	lawful; legitimate; legal
合理	hélǐ	rational; reasonable
合同	hétong	contract
合影	héyǐng	joint photo; group photo
合作	hézuò	cooperate; collaborate; work together
何必	hébì	why should; there is no need to
何况	hékuàng	let alone; much less
和平	hépíng	peace
核心	héxīn	core; nucleus
恨	hèn	to hate
猴子	hóuzi	monkey
后背	hòubèi	back (of the body)
后果	hòuguǒ	consequences; aftermath
呼吸	hūxī	breathe
忽然	hūrán	suddenly; all of a sudden
忽视	hūshì	neglect; ignore; to overlook
胡说	húshuō	talk nonsense; drivel
胡同	hútòng	lane; alley
壶	hú	pot; kettle; jug; (mw for bottled liquids)
蝴蝶	húdié	butterfly
糊涂	hútu	confused; bewildered; muddled
花生	huāshēng	peanut
划	huà, huá	delimit; to transfer; assign | to row; to paddle; to scratch
华裔	Huáyì	person of Chinese descent
滑	huá	slippery; cunning; crafty
化学	huàxué	chemistry
话题	huàtí	subject (of a talk or conversation)
怀念	huáiniàn	cherish the memory of; think fondly of
怀孕	huáiyùn	become pregnant; have conceived
缓解	huǎnjiě	to alleviate
幻想	huànxiǎng	delusion; fantasy; illusion
慌张	huāngzhāng	flustered; flurried
黄金	huángjīn	gold
灰	huī	ash; gray (grey); dust; lime
灰尘	huīchén	dust; dirt
灰心	huī xīn	lose heart; be discouraged
挥	huī	to wave; brandish; wield; wipe away
恢复	huīfù	reinstate; resume; recover
汇率	huìlǜ	exchange rate
婚礼	hūnlǐ	wedding ceremony
婚姻	hūnyīn	marriage; matrimony; wedding
活跃	huóyuè	active; vigorous
火柴	huǒchái	match (for lighting fire)
伙伴	huǒbàn	partner (for an activity); friend; pal
或许	huòxǔ	perhaps; maybe
机器	jīqì	machine
肌肉	jīròu	muscle; flesh
基本	jīběn	basic; fundamental
激烈	jīliè	intense; acute; sharp; fierce
及格	jí gé	pass an exam
极其	jíqí	extremely; exceedingly
急忙	jímáng	hastily
急诊	jízhěn	emergency call; emergency treatment
集合	jíhé	gather; assemble; to muster
集体	jítǐ	collective; group
集中	jízhōng	concentrate; to focus; amass
计算	jìsuàn	to count; calculate; compute
记录	jìlù	to record; take notes
记忆	jìyì	memory; to remember
纪录	jìlù	a record; to take notes
纪律	jìlǜ	discipline; morale; laws and regulations
纪念	jìniàn	commemorate; remember
系领带	jìlǐngdài	tie a neck tie
寂寞	jìmò	lonely; lonesome
夹子	jiāzi	clip; tongs; folder
家庭	jiātíng	family; household
家务	jiāwù	household duties; chores; housework
家乡	jiāxiāng	hometown
嘉宾	jiābīn	honored guest
甲	jiǎ	one; armor (1st Heavenly Stem)
假如	jiǎrú	if; supposing; in case
假设	jiǎshè	suppose that; hypothesis; conjecture
假装	jiǎzhuāng	pretend to be; feign
价值	jiàzhí	value; worth
驾驶	jiàshǐ	to drive; to pilot (a ship, an airplane, etc.)
嫁	jià	marry (a husband); take a husband
坚决	jiānjué	resolute; determined; uncompromising
坚强	jiānqiáng	strong; staunch
肩膀	jiānbǎng	shoulder
艰巨	jiānjù	very difficult; arduous; hard
艰苦	jiānkǔ	difficult; hard; arduous
兼职	jiānzhí	part time
捡	jiǎn	to pick up; collect; gather
剪刀	jiǎndāo	scissors
简历	jiǎnlì	resume; curriculum vitae
简直	jiǎnzhí	simply; at all
建立	jiànlì	establish; to construct; to set up
建设	jiànshè	to build; to construct; construction
建筑	jiànzhù	a building; to construct; architecture
健身	jiànshēn	work out; body-building
键盘	jiànpán	keyboard
讲究	jiǎngjiu	Be particular about; fastidious; stress; exquisite ; careful study
讲座	jiǎngzuò	a lecture or course of lectures; lecture hall
酱油	jiàngyóu	soy sauce
交换	jiāohuàn	to exchange; to swap; to switch
交际	jiāojì	socialize; social intercourse; communication
交往	jiāowǎng	to associate; to contact
浇	jiāo	to water; irrigate; to pour; to sprinkle
胶水	jiāoshuǐ	(watery) glue; gum
角度	jiǎodù	angle; point of view
狡猾	jiǎohuá	crafty; cunning; sly
教材	jiàocái	teaching materials
教练	jiàoliàn	(athlete's) coach; sports coach; instructor
教训	jiàoxun	lesson; teach someone or learn a lesson; a moral
阶段	jiēduàn	stage; phase
结实	jiēshi	sturdy; (also -shí: bear fruit)
接触	jiēchù	come into contact with
接待	jiēdài	receive (a visitor); admit (entry to)
接近	jiējìn	near; be close to
节省	jiéshěng	save; use sparingly; frugal
结构	jiégòu	structure; composition
结合	jiéhé	combine; to link; to bind
结论	jiélùn	conclusion; verdict
结账	jiézhàng	pay the bill; settle accounts
戒	jiè	warn against; swear off
戒指	jièzhi	(finger) ring
届	jiè	arrive at; period; session; (mw for events; meetings; etc.)
借口	jièkǒu	excuse
金属	jīnshǔ	metal
尽快	jǐnkuài	as quickly as possible
尽量	jǐnliàng	as much as possible; to the best of one's ability (jìn-: eat or drink to one's fill)
紧急	jǐnjí	urgent; pressing
谨慎	jǐnshèn	cautious; prudent
尽力	jìn lì	do one's best; to strive as much as possible
进步	jìnbù	make progress; to advance
进口	jìn kǒu	import; entrance; enter
近代	jìndài	modern times; latest generation
经典	jīngdiǎn	classics; scriptures
经商	jīng shāng	trade; be in business; do commerce
经营	jīngyíng	engage in (a business activity, etc.); run/operate (a business)
精力	jīnglì	energy; vigor
精神	jīngshen	vigor; spirit; mind
酒吧	jiǔbā	bar
救	jiù	to save (life); to assist; to rescue
救护车	jiùhùchē	ambulance
舅舅	jiùjiu	mother's brother; maternal uncle
居然	jūrán	unexpectedly; to one's surprise; go so far as to
桔子	júzi	tangerine
巨大	jùdà	immense; enormous; very large
具备	jùbèi	possess; be equipped with
具体	jùtǐ	concrete; definite; specific
俱乐部	jùlèbù	club (group or organization)
据说	jùshuō	it is said that; reportedly
捐	juān	to contribute; to donate; to subsribe to; to abandon; to relinquish; contribution; tax
决赛	juésài	finals (of a competition); final match
决心	juéxīn	determination; resolution
角色	juésè	role; part
绝对	juéduì	absolute; definite
军事	jūnshì	military affairs; military matters
均匀	jūnyún	even; well-distributed
卡车	kǎchē	truck
开发	kāifā	develop; to exploit (a resource)
开放	kāifàng	(of flowers) to bloom; open up; to be open-minded; lift a ban, restriction, etc.; release; liberalization; China's 1979 open policy
开幕式	kāimùshì	opening ceremony
开水	kāishuǐ	boiled water; boil water
砍	kǎn	to chop; cut down
看不起	kàn bu qǐ	look down upon; despise
看望	kànwàng	visit; call on; see
靠	kào	depend on; lean on; near; to trust
颗	kē	(mw for hearts and small, round things like seeds, grains, beans, etc.)
可见	kějiàn	it can clearly be seen that; clear
可靠	kěkào	reliable
可怕	kěpà	terrible; awful; frightful; scary
克	kè	gram; overcome; restrain
克服	kèfú	overcome (hardships, etc.); conquer
刻苦	kèkǔ	hardworking; assiduous
客观	kèguān	objective; impartial; unbiased
课程	kèchéng	course; curriculum; class
空间	kōngjiān	space
空闲	kòngxián	leisure; free time; idle; unused
控制	kòngzhì	to control
口味	kǒuwèi	a person's tastes or preferences
夸	kuā	to boast; to praise; exaggerate
夸张	kuāzhāng	exaggerate; overstate; exaggerated; overstated; vaunted; hyperbole
会计	kuàijì	accountant; accounting
宽	kuān	wide; broad; relaxed; lenient
昆虫	kūnchóng	insect
扩大	kuòdà	enlarge; expand
辣椒	làjiāo	hot pepper; chili
拦	lán	to block; to cut off; hinder
烂	làn	overcooked; rotten; soft; mushy
朗读	lǎngdú	read aloud
劳动	láodòng	work; toil; (physical) labor
劳驾	láo jià	excuse me
老百姓	lǎobǎixìng	ordinary people; the person on the street; civilians
老板	lǎobǎn	boss; proprietor; shopkeeper
老婆	lǎopó	(informal) wife
老实	lǎoshi	honest; sincere; naive; simpleminded
老鼠	lǎoshǔ	rat; mouse
姥姥	lǎolao	maternal grandmother
乐观	lèguān	optimism; hopeful
雷	léi	thunder
类型	lèixíng	type
冷淡	lěngdàn	cold; chill; indifferent; unconcerned
厘米	límǐ	centimeter
离婚	lí hūn	to divorce; divorced from (one's spouse)
梨	lí	pear
理论	lǐlùn	theory
理由	lǐyóu	a reason; grounds; argument
力量	lìliang	power; force; strength
立即	lìjí	immediately
立刻	lìkè	immediately; at once; right away
利润	lìrùn	profit
利息	lìxī	interest (on a loan)
利益	lìyì	benefit; (in sb.'s) interest
利用	lìyòng	to use; to make use of; to exploit
连忙	liánmáng	promptly; at once
连续	liánxù	continually; in a row; successively
联合	liánhé	alliance; combine; unite
恋爱	liàn'ài	romantic love; be in love; love affair
良好	liánghǎo	good; favorable; well
粮食	liángshi	grain; food; cereals
亮	liàng	bright; light; shiny
了不起	liǎobuqǐ	incredible; extraordinary; great; amazing
列车	lièchē	train (railway term)
临时	línshí	temporary; at the time; when the time comes
灵活	línghuó	flexible; nimble; agile
铃	líng	bell
零件	língjiàn	spare parts; component
零食	língshí	snack
领导	lǐngdǎo	to lead; leader; leadership
领域	lǐngyù	domain; sphere; field; area
浏览	liúlǎn	browse; glance over; skim through
流传	liúchuán	to spread; circulate; hand down
流泪	liúlèi	shed tears
龙	lóng	dragon (Kangxi radical 212)
漏	lòu	to leak; to funnel; to let out
陆地	lùdì	land; dry land (as opposed to the sea)
陆续	lùxù	in turn; successively; one after another
录取	lùqǔ	recruit; enroll; matriculate
录音	lùyīn	sound recording; to record
轮流	lúnliú	to alternate; take turns; rotate
论文	lùnwén	thesis; paper; treatise
逻辑	luóji	logic
落后	luòhòu	backward; to lag (in technology); to fall behind
骂	mà	scold; curse; condemn; verbally abuse
麦克风	màikèfēng	microphone
馒头	mántou	steamed bun/roll
满足	mǎnzú	satisfy; meet (the needs of)
毛病	máobìng	fault; bad habit; shortcoming
矛盾	máodùn	contradiction; conflict
冒险	màoxiǎn	take a risk; take chances
贸易	màoyì	(commercial) trade
眉毛	méimao	eyebrow
媒体	méitǐ	(news) media; medium
煤炭	méitàn	coal
美术	měishù	the fine arts; art
魅力	mèilì	charm; glamour; enchantment
梦想	mèngxiǎng	dream of; wishful thinking
秘密	mìmì	a secret; confidential
秘书	mìshu	secretary
密切	mìqiè	close; familiar; intimate
蜜蜂	mìfēng	bee; honeybee
面对	miànduì	to face; confront
面积	miànjī	(surface) area
面临	miànlín	be faced with; be up against
苗条	miáotiao	slim; slender
描写	miáoxiě	to describe; to depict; to portray
敏感	mǐngǎn	sensitive; susceptible
名牌	míngpái	famous brand; name brand
名片	míngpiàn	business card
名胜古迹	míngshènggǔjì	famous scenic spots and ancient historic sites
明确	míngquè	clear-cut; clearly; clarify
明显	míngxiǎn	clear; obvious
明星	míngxīng	(movie, etc.) star; celebrity
命令	mìnglìng	an order; a command
命运	mìngyùn	fate; destiny
摸	mō	to touch; to stroke; fish out; feel out
模仿	mófǎng	imitate; to copy
模糊	móhu	vague; indistinct; fuzzy; foggy
模特	mótè	(fashion) model
摩托车	mótuōchē	motorcycle; motorbike
陌生	mòshēng	strange; unfamiliar
某	mǒu	a certain; some
木头	mùtou	wood; log; timber
目标	mùbiāo	target; goal; objective
目录	mùlù	catalog; table of contents; directory (on computer hard drive)
目前	mùqián	at present; now; for the moment
哪怕	nǎpà	even (if/though); no matter how
难怪	nánguài	no wonder
难免	nánmiǎn	hard to avoid; difficult to escape from
脑袋	nǎodai	head; mental capability; brains
内部	nèibù	internal; interior; inside (part, section)
内科	nèikē	internal medicine
嫩	nèn	tender; inexperienced
能干	nénggàn	capable; competent
能源	néngyuán	energy resources; power source
嗯	ēn	(interjection expressing what?, huh? hmm? why? ok, etc.)
年代	niándài	decade; era
年纪	niánjì	age
念	niàn	read aloud; to study; to miss or think of somebody
宁可	nìngkě	would rather; it is the lesser of two evils to
牛仔裤	niúzǎikù	jeans; cowboy pants
农村	nóngcūn	rural area; countryside
农民	nóngmín	peasant
农业	nóngyè	agriculture; farming
浓	nóng	concentrated; dense
女士	nǚshì	lady; madam
欧洲	Ōuzhōu	Europe
偶然	ǒurán	accidentally; occasional; fortuitous
拍	pāi	to clap; to pat; to shoot (pictures, a film); send (a telegram)
派	pài	dispatch; (mw for political groups; schools of thought; etc.)
盼望	pànwàng	to hope for; look forward to
培训	péixùn	cultivate; train
培养	péiyǎng	to train; cultivate; bring up
赔偿	péicháng	compensate; pay for somebody else's loss
佩服	pèifu	admire; to respect
配合	pèihé	be harmoniously combined or arranged; matching; fitting in with; compatible with; to correspond; to fit; to conform to; rapport; to coordinate with; to act in concern with; to cooperate; to become man and wife; to combine parts of a machine
盆	pén	basin; (flower) pot
碰	pèng	to touch; to bump; to encounter
批	pī	criticize; to comment; wholesale; (mw for batches, lots, etc.)
批准	pīzhǔn	approve; ratify
披	pī	drape over one's shoulders; split open; open
疲劳	píláo	fatigue; wearily; weariness; tired
匹	pǐ	ordinary person; (mw for horses, bolt of cloth)
片	piàn, piān	(mw for pieces of things); a slice; a flake (Kangxi radical 91) | film; photo
片面	piànmiàn	one-sided; unilateral
飘	piāo	to float; flutter
拼音	pīnyīn	pinyin; phonetic writing
频道	píndào	frequency; (television) channel
平	píng	flat; level; equal; ordinary
平安	píng'ān	safe and sound
平常	píngcháng	ordinary; usually; common
平等	píngděng	equal; equality
平方	píngfāng	square (as in square foot, square mile, etc.)
平衡	pínghéng	balance; balanced; equilibrium
平静	píngjìng	calm; peaceful; tranquil; serene
平均	píngjūn	average; to share equally
评价	píngjià	to evaluate
凭	píng	lean against; evidence; proof; no matter (what/how/etc.)
迫切	pòqiè	urgent; pressing
破产	pò chǎn	go bankrupt; go broke; bankruptcy
破坏	pòhuài	destroy; destruction; to wreck; to break
期待	qīdài	look forward to; await; expectation
期间	qījiān	period of time; time
其余	qíyú	the others; the rest; remaining
奇迹	qíjì	miracle; miraculous; marvel
企业	qǐyè	company; business; firm
启发	qǐfā	enlighten; inspire
气氛	qìfēn	atmosphere; mood; ambience
汽油	qìyóu	gasoline; gas; petrol
谦虚	qiānxū	modest
签	qiān	bamboo used for drawing lots; toothpick; to sign (one's name)
前途	qiántú	future; prospects; outlook (for the future)
浅	qiǎn	shallow; simple; superficial; light (of colors)
欠	qiàn	yawn; to lack; owe (Kangxi radical 76)
枪	qiāng	gun; spear
强调	qiángdiào	emphasize; to stress
强烈	qiángliè	intense; strong; violent
墙	qiáng	wall
抢	qiǎng, qiāng	fight over; vie for; grab; rush | bump against
悄悄	qiāoqiāo	quietly
瞧	qiáo	look at; see (colloquial)
巧妙	qiǎomiào	ingenious; clever
切	qiē, qiè	to cut; to chop | correspond to; absolutely; ardently
亲爱	qīn'ài	beloved; Dear ... (a way of starting a letter lovers, intimate friends or close relatives)
亲切	qīnqiè	kind; amiable; cordial
亲自	qīnzì	personally
勤奋	qínfèn	hardworking; diligent; industrious
青	qīng	blue; green; young (Kangxi radical 174); Qinghai province (abbr.)
青春	qīngchūn	youth; youthfulness; fresh spring
青少年	qīngshàonián	teenager
轻视	qīngshì	contempt; to scorn; scornful
轻易	qīngyì	easily; lightly; rashly
清淡	qīngdàn	light (of food, not greasy or strongly flavored) ; insipid;  slack (sales)
情景	qíngjǐng	scene; sight; circumstances
情绪	qíngxù	emotion; sentiment; mood; morale
请求	qǐngqiú	to request; ask
庆祝	qìngzhù	celebrate
球迷	qiúmí	fan (of ball games: basketball, football, etc.)
趋势	qūshì	trend; tendency
取消	qǔxiāo	cancel; cancellation; abolish
娶	qǔ	marry (a wife); take a wife
去世	qùshì	pass away; die
圈	quān	circle; ring; (mw for loops, orbits, etc.)
权力	quánlì	power; authority
权利	quánlì	right; privilege
全面	quánmiàn	all-around; comprehensive; fully
劝	quàn	advise; to urge; persuade
缺乏	quēfá	shortage; to lack; be short of
确定	quèdìng	definite; certain; fixed; determine
确认	quèrèn	confirm; confirmation; verify
群	qún	crowd; group; (mw for groups, flocks, or swarms)
燃烧	ránshāo	combustion; burn; kindle
绕	rào	to wind; to coil; move round
热爱	rè'ài	love ardently; adore; passion
热烈	rèliè	warm; enthusiastic
热心	rèxīn	enthusiastic; zealous; warmhearted
人才	réncái	talent; talented person
人口	rénkǒu	population; the populace
人类	rénlèi	humanity; human race; mankind
人民币	rénmínbì	(currency) renminbi (RMB)
人生	rénshēng	human life
人事	rénshì	personnel
人物	rénwù	figure; personage; character (in a play, story, etc.)
人员	rényuán	staff; crew; personnel
忍不住	rěn bu zhù	cannot help but; unable to bear
日常	rìcháng	daily; everyday
